N,time0,res0,time1,res1,time2,res2,time3,res3,time4,res4,time5,res5,time6,res6,time7,res7,time8,res8,time9,res9,time10,res10,time11,res11,time12,res12,time13,res13,time14,res14,time15,res15,time16,res16,time17,res17
1.0,0.0,8694997.0,0.0,7873374.0,0.0,7322204.5,0.0,6964544.5,0.0,6668506.0,0.0,6577899.0,0.0,6357762.5,0.0,6279220.5,0.0,5990392.5,0.0,5828843.0,0.0,5786339.5,0.0,5761098.0,0.0,5634604.5,0.0,5484745.5,0.0,5424837.5,0.0,16401281.0,0.0,18181850.0,0.0,19089634.0
1.0,0.03125786781311035,9128746.0,0.015628337860107422,8034153.5,0.0156252384185791,7501052.0,0.015625,6912220.0,0.022139549255371094,6931675.5,0.01562643051147461,6631862.5,0.015624046325683594,6420588.0,0.0156252384185791,6282536.5,0.02214217185974121,6184758.5,0.015625476837158203,6036004.5,0.01562666893005371,5846081.0,0.01563239097595215,5808019.5,0.015623092651367188,5791045.0,0.015624761581420898,5704918.0,0.015625715255737305,5538486.0,0.03125333786010742,15710493.0,0.01563119888305664,18129332.0,0.01563286781311035,18964798.0
1.0,0.04688215255737305,9134287.0,0.03777360916137695,8160893.0,0.037761688232421875,7512850.5,0.03125166893005371,7051967.0,0.03776288032531738,6929446.0,0.031249046325683594,6647199.0,0.0312502384185791,6305141.0,0.03125190734863281,6314885.5,0.0377812385559082,6207120.0,0.03125309944152832,6027651.0,0.03125143051147461,5800452.5,0.03125739097595215,5829824.5,0.03124833106994629,5765757.0,0.03776216506958008,5693079.0,0.03125,5527995.5,0.0468747615814209,15543698.0,0.03125715255737305,17283326.0,0.03125786781311035,18104650.0
1.0,0.06250619888305664,9114755.0,0.053400516510009766,8141517.0,0.05338644981384277,7685186.5,0.04687380790710449,7231761.0,0.05338549613952637,7005156.5,0.04687380790710449,6652548.0,0.0468754768371582,6490272.0,0.053399085998535156,6376859.0,0.05339193344116211,6324651.0,0.046875715255737305,6136657.5,0.046875953674316406,5923683.0,0.04688429832458496,5891409.0,0.046875715255737305,5746259.0,0.05338764190673828,5784456.0,0.053391218185424805,5616031.5,0.06901264190673828,15073311.0,0.04688072204589844,16336321.0,0.04688119888305664,18129332.0
1.0,0.07818126678466797,9182480.0,0.06902718544006348,8145782.0,0.06901168823242188,7616305.0,0.06650876998901367,7180512.5,0.06901431083679199,6956709.0,0.06900620460510254,6749627.0,0.06901216506958008,6568059.5,0.06902337074279785,6487141.0,0.06901288032531738,6238682.5,0.06901359558105469,6184525.5,0.0625007152557373,5952373.5,0.06250762939453125,5934651.0,0.06249880790710449,5870046.0,0.0690145492553711,5748111.0,0.06901407241821289,5685829.0,0.0846400260925293,14964362.0,0.06250429153442383,16361425.0,0.06250429153442383,17489472.0
1.0,0.09375548362731934,9249422.0,0.08465003967285156,8253186.5,0.08463597297668457,7785778.0,0.08213520050048828,7258491.5,0.08463573455810547,7032657.0,0.08614230155944824,6894401.0,0.08463668823242188,6611870.5,0.0846555233001709,6442493.0,0.08463859558105469,6322616.0,0.08463788032531738,6156922.0,0.08464431762695312,6094787.0,0.07813215255737305,5979307.0,0.07812166213989258,5908885.0,0.08463811874389648,5735174.0,0.0846409797668457,5693079.0,0.10026288032531738,14908106.0,0.07813072204589844,16271895.0,0.07813382148742676,17449400.0
1.0,0.11589407920837402,9503610.0,0.10027408599853516,8236040.0,0.10026025772094727,7723867.0,0.09776115417480469,7316317.5,0.10026001930236816,7169834.0,0.08907222747802734,6712086.0,0.10026431083679199,6629232.0,0.10027265548706055,6490682.0,0.10026335716247559,6384732.0,0.10026192665100098,6224362.5,0.10026693344116211,6097912.5,0.09375905990600586,6006485.5,0.10026240348815918,5897251.0,0.10026192665100098,5871054.0,0.1002647876739502,5677687.0,0.11588764190673828,14682519.0,0.09375333786010742,16630669.0,0.09388446807861328,17280546.0
1.0,0.13151764869689941,9394030.0,0.1224067211151123,8312198.0,0.12239408493041992,7826755.5,0.11338281631469727,7377693.0,0.12239718437194824,7186882.5,0.10469722747802734,6936415.0,0.11588811874389648,6692116.0,0.11589741706848145,6576841.5,0.12239980697631836,6500282.0,0.11588549613952637,6261679.0,0.11589431762695312,6129144.0,0.11590385437011719,6076101.0,0.11588692665100098,5970419.0,0.12240028381347656,5815608.5,0.11588883399963379,5739789.0,0.13151288032531738,14168183.0,0.11589193344116211,15733804.0,0.09989333152770996,17043938.0
1.0,0.14714574813842773,9416343.0,0.13803911209106445,8293474.0,0.13802742958068848,7813956.0,0.12900733947753906,7401839.0,0.13802194595336914,7174159.0,0.12032294273376465,6934601.0,0.1315138339996338,6711536.5,0.13152313232421875,6557648.5,0.13802289962768555,6428562.5,0.13151240348815918,6296556.5,0.1315174102783203,6165288.5,0.13152170181274414,6104967.5,0.1315135955810547,5941536.5,0.1380302906036377,5893458.0,0.131514310836792,5791045.0,0.1536417007446289,14363336.0,0.1315150260925293,15482980.0,0.11552643775939941,17114758.0
1.0,0.16276884078979492,9371822.0,0.15366363525390625,8453984.0,0.1536540985107422,7819094.0,0.1511392593383789,7396047.0,0.15364599227905273,7199057.0,0.13594675064086914,6937948.5,0.1536421775817871,6733255.5,0.15371060371398926,6637699.0,0.15364837646484375,6413298.5,0.14713597297668457,6340488.5,0.14714384078979492,6238421.0,0.14714860916137695,6187511.0,0.14713716506958008,5986289.5,0.1536569595336914,5936560.0,0.15365386009216309,5821264.0,0.16927456855773926,13942371.0,0.14714312553405762,15382832.0,0.1311502456665039,16706116.0
