Amplitude (V),alpha,tau,beta,gamma,r2_score
-7,12175801.666617954,2.547978707535574,0.3457087066453199,13180619.24286674,0.9671501056419594
-7,13870345.263047261,3.8749466060036717,0.3038049036192685,12749456.660490563,0.9667988952148354
-7,12793483.539828748,4.692058420473931,0.3450480671324401,13309400.094087044,0.9660446695479922
-7,14369344.766725658,4.121427243458969,0.31239295406524575,13192170.25627809,0.9645311612487979
-7,14653756.061691564,4.148036290173265,0.3041601692703531,13265545.100419976,0.9644335983010612
-7,14557443.840594953,5.091060553301429,0.3071259716726436,13144450.120060476,0.9646070647058317
-7,14319702.230484616,4.208777032218754,0.3169578246342433,13633156.2265465,0.9606994008981948
-7,14659807.692770056,3.557806987216734,0.31940714107059937,13949291.493815413,0.963099631699606
-7,15763023.225721106,3.448711887337213,0.2905494701436798,13626627.751185305,0.9626106134517477
-7,15106665.388543751,4.4170831166095414,0.3066942008188721,13611573.880543819,0.963714917173813
-7,14399466.610807166,4.933126886061788,0.3187602246674436,13740080.415473292,0.9616014064475358
-7,15557345.506228006,4.107704666721014,0.3013478375529749,13725977.931656262,0.959953571991249
-7,14978047.132317789,4.577771220283485,0.30937905056753573,13821411.187346937,0.9615160892162102
-7,14842750.011159606,3.6394259370912536,0.3236973995266257,14351886.688023936,0.9619264384416565
-7,16576148.984950863,4.322295393062352,0.28051442244087427,13444718.34678695,0.9611804644487904
7,-732680.0891024484,0.3232195386113863,0.9999999999998119,13379763.850509506,0.05655133126540057
7,-734395.0279328701,0.5078839881561672,0.8505221931595125,11780940.519190054,0.17094703310817827
7,-563788.5412867005,0.6376462630991624,0.8806346804530466,10817719.24876527,0.1897685708983473
