Amplitude (V),alpha,tau,beta,gamma,r2_score
7,-1807694.1923522307,1.4382840713950902,0.46356685309101403,11537366.30017487,0.7584896693245612
7,-1609641.1816597157,1.1895677567406147,0.40113989564160835,10429902.691380985,0.7433726608926565
7,-1596321.354239169,1.152151830560078,0.35191229706715604,9674521.743492963,0.7770820627864012
7,-1406430.287650427,1.2148189776707448,0.3636313463182767,9069963.481523417,0.7862321765078926
7,-1276696.7402441795,1.1944878273223025,0.36444377481173373,8583829.416728131,0.7876883787121318
7,-1223277.8653530611,1.4020547449043106,0.32271148104382114,8243144.212883466,0.7804654062765763
7,-1171855.831140746,1.1976823821168603,0.33350852140959436,7891774.170208794,0.8020198343245372
7,-1101569.9412143822,1.160359638296905,0.35452805827049694,7592807.514643261,0.8029585825858925
7,-1072001.2631905056,1.1683133368346807,0.33755204923853926,7355790.421934492,0.8064849333634185
7,-1062551.7233207624,0.9725570399477725,0.3338099741340928,7127523.508062166,0.8109237010887378
7,-944280.2043836465,1.1937361682962921,0.33685467045706935,6941696.384199011,0.8129515689207598
7,-908802.9072503268,1.1714572379097778,0.3267374618392014,6769617.3338826,0.8097097386120087
7,-835949.4863926751,1.2790872480302005,0.3522509872443002,6602069.858046471,0.808105597907998
7,-916277.475952718,0.9468825710620058,0.32631736905798653,6459844.361537077,0.824334914078285
7,-865358.598629125,0.9607223227650303,0.34919342811941023,6317434.485196826,0.832961468626193
-7,4021175.323574319,1.710283979535514,0.35035179671065797,6930982.2809774885,0.9820713246385231
-7,4295960.153546939,2.2475969318861804,0.34038607183037356,7176387.016890332,0.9806580451171353
-7,4778908.9723083945,2.5524665273615676,0.3077644833966486,7238940.311848003,0.9798222744356312
