Amplitude (V),alpha,tau,beta,gamma,r2_score
7,-2495409.7353862706,0.747743785768969,0.49705560135648524,11057445.229932535,0.8255482109897168
7,-2578093.1924510114,1.328153156996553,0.4295353327801806,10194299.407524325,0.9099951773374799
7,-2582285.8521324387,1.2740439778858268,0.40145912229350833,9624631.199784216,0.9217377471305691
7,-2617513.7057918627,1.13439834510896,0.38259734460849054,9185203.660317,0.9323956043773275
7,-2479104.98707801,1.3364289680784303,0.368226025970575,8874329.022136427,0.9361945213508924
7,-2355134.7157148174,1.4111996152193753,0.3691464681576566,8574809.10440978,0.934183762226104
7,-2311597.0606672843,1.3189591325541203,0.36670784626091324,8313650.578535545,0.9352969614657682
7,-2171138.851842294,1.5327833091993623,0.3703979540318324,8109410.45559261,0.9428243179338316
7,-2155432.73726972,1.3544455194774996,0.35932753896991426,7909475.844275162,0.9423176692360093
7,-2133867.2226114105,1.3143231444785226,0.3522120030189937,7737655.877116051,0.9460462910451476
7,-2124189.1270231674,1.3218429255605597,0.3524257446277115,7590079.640638874,0.9464921868111312
7,-1925737.0968174902,1.374357097439582,0.37234857485409784,7416386.106075149,0.9470528175604399
7,-1910306.5044206916,1.4162054228009278,0.3653975163648412,7300925.093339254,0.9508205243709453
7,-1900802.5352476102,1.3993807365419297,0.35687767255613706,7184379.458882175,0.9488705618765444
7,-1891145.9300552546,1.3198518218545834,0.3575376382266353,7067839.432857624,0.9486728128258063
-7,9272698.102177376,0.7903998285252598,0.36118440361865267,8406464.93082408,0.9858218516391972
-7,10430538.951703569,0.8672552097775299,0.3364568673632024,9091741.239419391,0.9850308910145704
-7,10932270.640082918,1.0775635501276621,0.3400759582197184,9663751.35944835,0.9845590323802869
