N,time0,res0,time1,res1,time2,res2,time3,res3,time4,res4,time5,res5,time6,res6,time7,res7,time8,res8,time9,res9,time10,res10,time11,res11,time12,res12,time13,res13,time14,res14,time15,res15,time16,res16,time17,res17
1.0,0.0,23449764.0,0.0,25450328.0,0.0,24574322.0,0.0,25572372.0,0.0,27086012.0,0.0,26553464.0,0.0,25959898.0,0.0,26033568.0,0.0,27993870.0,0.0,27598814.0,0.0,26880104.0,0.0,27727782.0,0.0,27914522.0,0.0,26728582.0,0.0,28596362.0,0.0,12620927.0,0.0,10885853.0,0.0,10377017.0
1.0,0.015622377395629883,24314716.0,0.015633106231689453,24771570.0,0.015624523162841797,25134902.0,0.015631675720214844,26201760.0,0.022138118743896484,25794742.0,0.015625,25964074.0,0.0156252384185791,26485672.0,0.015624523162841797,28582560.0,0.01563405990600586,27028658.0,0.022142887115478516,26259732.0,0.015624761581420898,25972424.0,0.022141218185424805,26317956.0,0.015624761581420898,25726362.0,0.015622377395629883,27521490.0,0.015630245208740234,28587160.0,0.015622854232788086,12897371.0,0.01563239097595215,11013707.0,0.01562666893005371,10144786.0
1.0,0.031248092651367188,22958216.0,0.031258583068847656,24158376.0,0.0312502384185791,23834134.0,0.03125,25299746.0,0.0403749942779541,25903216.0,0.031252145767211914,26025198.0,0.0377652645111084,25894874.0,0.031250953674316406,26131438.0,0.03125905990600586,27268418.0,0.0377655029296875,27403186.0,0.03125333786010742,25580598.0,0.037764549255371094,26664224.0,0.03125190734863281,26604440.0,0.03124833106994629,27736700.0,0.031256914138793945,27539206.0,0.03124856948852539,12744985.0,0.031259775161743164,11151862.0,0.03778266906738281,10310591.0
1.0,0.0468747615814209,23265846.0,0.04688215255737305,24356802.0,0.04687380790710449,24170040.0,0.0468754768371582,25644098.0,0.05600166320800781,25245916.0,0.04687619209289551,24511722.0,0.053391218185424805,25521484.0,0.046875953674316406,25964074.0,0.04688310623168945,25245920.0,0.053388118743896484,26255510.0,0.04687786102294922,26651352.0,0.053389549255371094,27736700.0,0.05339193344116211,25357886.0,0.0468745231628418,27028658.0,0.04688096046447754,26380684.0,0.04687356948852539,12915559.0,0.046881914138793945,11211495.0,0.05340886116027832,10344884.0
1.0,0.06249833106994629,23672362.0,0.06250524520874023,23315306.0,0.06901192665100098,23862882.0,0.06249880790710449,25790590.0,0.07162976264953613,23874410.0,0.06900954246520996,25509166.0,0.0690159797668457,25798892.0,0.06901907920837402,26971568.0,0.06250524520874023,25631730.0,0.06903243064880371,24879436.0,0.0690150260925293,23967016.0,0.0690152645111084,26737180.0,0.0690159797668457,25291604.0,0.06262731552124023,26923394.0,0.06250405311584473,25521484.0,0.06249856948852539,12899446.0,0.06250596046447754,11115139.0,0.06903338432312012,10207487.0
1.0,0.08463144302368164,23047374.0,0.07813191413879395,22349322.0,0.08463668823242188,23926392.0,0.08463025093078613,23778720.0,0.08725261688232422,24120916.0,0.08464241027832031,24613430.0,0.0846402645111084,24372482.0,0.08464384078979492,25085796.0,0.07812881469726562,25580606.0,0.08465886116027832,26184906.0,0.0846407413482666,25151076.0,0.0846397876739502,25572372.0,0.0846397876739502,25416272.0,0.06863188743591309,25803040.0,0.07813143730163574,26305258.0,0.08463573455810547,12790303.0,0.07812976837158203,11300551.0,0.08465957641601562,10307274.0
1.0,0.10039186477661133,22984208.0,0.09375882148742676,23874410.0,0.10026025772094727,23496200.0,0.10026288032531738,24827386.0,0.10287642478942871,23922542.0,0.1002659797668457,24535384.0,0.10026407241821289,24507774.0,0.10026907920837402,25588830.0,0.09375309944152832,24613430.0,0.10029458999633789,24719958.0,0.10026431083679199,25081758.0,0.1002659797668457,24771568.0,0.1002659797668457,24879436.0,0.08426284790039062,26184906.0,0.09375429153442383,26025198.0,0.10026121139526367,12512408.0,0.09375429153442383,11183393.0,0.1002814769744873,10567667.0
1.0,0.11602306365966797,22709436.0,0.11589813232421875,23593420.0,0.11588358879089355,23273330.0,0.11588764190673828,23676172.0,0.12201356887817383,23140950.0,0.1158909797668457,24566424.0,0.11588788032531738,25196370.0,0.11589288711547852,24676504.0,0.11588692665100098,25357886.0,0.12243032455444336,24177816.0,0.1158902645111084,24574322.0,0.12240147590637207,24823392.0,0.1158907413482666,25782286.0,0.09988760948181152,26086590.0,0.11589384078979492,24715986.0,0.11588549613952637,12871464.0,0.1158909797668457,11236345.0,0.12241530418395996,10375348.0
1.0,0.13164782524108887,22065626.0,0.13152360916137695,23319054.0,0.13151001930236816,22655166.0,0.13151073455810547,24019392.0,0.13763856887817383,22958216.0,0.1315171718597412,23349926.0,0.1380298137664795,25416272.0,0.131516695022583,24019392.0,0.13151311874389648,25850942.0,0.13805818557739258,23442218.0,0.1315150260925293,24306890.0,0.13802695274353027,25742928.0,0.13802337646484375,25420362.0,0.11551070213317871,26156666.0,0.1315171718597412,25462620.0,0.13151097297668457,12825592.0,0.13152146339416504,11099701.0,0.13805127143859863,10415102.0
1.0,0.14727282524108887,21223028.0,0.14714908599853516,21959156.0,0.14713191986083984,23885932.0,0.14726662635803223,25188264.0,0.15326476097106934,23763414.0,0.1471409797668457,23499980.0,0.1536555290222168,23974728.0,0.15364670753479004,24364642.0,0.14713788032531738,24819400.0,0.15367984771728516,24984190.0,0.1471395492553711,24558514.0,0.15365076065063477,25196370.0,0.153656005859375,25972432.0,0.13113665580749512,24831378.0,0.14716482162475586,25353806.0,0.1471571922302246,12927549.0,0.1471414566040039,11289801.0,0.15367674827575684,10340861.0
1.0,0.16289710998535156,21771706.0,0.16277241706848145,22310898.0,0.16927385330200195,22569028.0,0.16286587715148926,23224052.0,0.16888689994812012,23870570.0,0.1627657413482666,23346168.0,0.17175507545471191,24318628.0,0.1692812442779541,24531440.0,0.16276144981384277,24775554.0,0.16930341720581055,23822634.0,0.16927862167358398,25357886.0,0.16927456855773926,24372482.0,0.1692800521850586,25188262.0,0.14676117897033691,25631730.0,0.16277003288269043,24827386.0,0.16275906562805176,12688419.0,0.1627671718597412,11367328.0,0.1692955493927002,10419219.0
1.0,0.17852091789245605,21785718.0,0.17840147018432617,22958216.0,0.18489360809326172,23220318.0,0.1784977912902832,23496198.0,0.18451404571533203,22947140.0,0.18490171432495117,22612012.0,0.18738412857055664,23644220.0,0.1849045753479004,23644220.0,0.17838740348815918,24314716.0,0.18493008613586426,23679982.0,0.18490290641784668,24767582.0,0.18490195274353027,24531440.0,0.1849048137664795,24227160.0,0.16251611709594727,26144050.0,0.17839264869689941,24887438.0,0.18489480018615723,13102989.0,0.1783924102783203,11341942.0,0.18493390083312988,10397610.0
1.0,0.20015931129455566,21386302.0,0.20052766799926758,22054982.0,0.20052075386047363,22479920.0,0.2001340389251709,23212842.0,0.20013642311096191,22906526.0,0.20052742958068848,22345724.0,0.20300769805908203,24418704.0,0.2005302906036377,24570374.0,0.20051884651184082,23926392.0,0.20055222511291504,24372482.0,0.20052671432495117,24064246.0,0.20052552223205566,23782546.0,0.20066332817077637,24484796.0,0.16852283477783203,25361962.0,0.20052313804626465,24779534.0,0.20052146911621094,12989980.0,0.194016695022583,11442219.0,0.20055103302001953,10283787.0
1.0,0.21578335762023926,20793724.0,0.21616077423095703,21973296.0,0.21614456176757812,23601010.0,0.2157595157623291,23315306.0,0.2222752571105957,23220314.0,0.21615052223205566,23554182.0,0.21876144409179688,24113154.0,0.2161543369293213,24767584.0,0.21615147590637207,24023260.0,0.2226858139038086,24015530.0,0.21615362167358398,23542822.0,0.22266602516174316,24120916.0,0.2162950038909912,23870570.0,0.18415403366088867,24767584.0,0.2161569595336914,24120916.0,0.21614551544189453,12953691.0,0.2161548137664795,11542393.0,0.21617746353149414,10319556.0
1.0,0.23140716552734375,21538094.0,0.2317824363708496,22395090.0,0.23176789283752441,22902842.0,0.2313835620880127,23683794.0,0.2378990650177002,22869742.0,0.23177766799926758,23133508.0,0.22226738929748535,23220314.0,0.2317795753479004,23212842.0,0.23177528381347656,24120916.0,0.238311767578125,23178692.0,0.23177790641784668,23922542.0,0.23828792572021484,24027122.0,0.2319192886352539,24120916.0,0.19977998733520508,24680472.0,0.2317798137664795,24019394.0,0.23176980018615723,13088542.0,0.23177862167358398,11103272.0,0.23831534385681152,10274883.0
1.0,0.24703073501586914,21505994.0,0.24740815162658691,21652520.0,0.25389933586120605,22608374.0,0.2470080852508545,21573782.0,0.2535266876220703,22789284.0,0.24740219116210938,22565396.0,0.2378988265991211,22947142.0,0.24740266799926758,23882090.0,0.24740195274353027,23632814.0,0.2539370059967041,23503758.0,0.25391077995300293,23970870.0,0.2539341449737549,23774896.0,0.2535543441772461,23578238.0,0.21540164947509766,25479006.0,0.24740338325500488,23738796.0,0.24739360809326172,13072025.0,0.247406005859375,11255856.0,0.25394368171691895,10471026.0
1.0,0.26265764236450195,21085804.0,0.2630329132080078,21652520.0,0.2695341110229492,22601102.0,0.2626347541809082,22694838.0,0.2691493034362793,22558138.0,0.2630283832550049,23148394.0,0.2535245418548584,23442218.0,0.26953983306884766,24771568.0,0.26302361488342285,23277074.0,0.2695600986480713,23870570.0,0.26954102516174316,24668566.0,0.26953625679016113,24109274.0,0.2691802978515625,24422630.0,0.23103117942810059,23882090.0,0.26304030418395996,24219368.0,0.26952695846557617,13359992.0,0.2630269527435303,11318475.0,0.2695651054382324,10346548.0
0.0,0.27828216552734375,20642428.0,0.2786555290222168,21742322.0,0.2851572036743164,22223764.0,0.2782580852508545,23930238.0,0.2847738265991211,23723524.0,0.28516721725463867,23648024.0,0.2691476345062256,23582034.0,0.28516530990600586,23319052.0,0.27864813804626465,24170040.0,0.2851865291595459,24621350.0,0.28516721725463867,23069926.0,0.28516292572021484,25057038.0,0.2848057746887207,22814752.0,0.2466566562652588,24465116.0,0.2786540985107422,23265846.0,0.2851598262786865,12929155.0,0.27865171432495117,11358275.0,0.2851901054382324,10740891.0
,0.30042266845703125,21745818.0,0.2942793369293213,21372544.0,0.300778865814209,21778708.0,0.3003973960876465,22651522.0,0.3003983497619629,22694834.0,0.30079174041748047,22954526.0,0.2847733497619629,22902840.0,0.30080628395080566,24570374.0,0.29639148712158203,23837968.0,0.3073155879974365,23734980.0,0.30079102516174316,24166152.0,0.3072977066040039,24883432.0,0.3004288673400879,23874410.0,0.2622802257537842,23794022.0,0.29428768157958984,23496202.0,0.30078601837158203,12857519.0,0.300783634185791,11447741.0,0.3008148670196533,10468526.0
