N,time0,res0,time1,res1,time2,res2,time3,res3,time4,res4,time5,res5,time6,res6,time7,res7,time8,res8,time9,res9,time10,res10,time11,res11,time12,res12,time13,res13,time14,res14,time15,res15,time16,res16,time17,res17
1.0,0.0,22409500.0,0.0,22120940.0,0.0,22405896.0,0.0,22917582.0,0.0,23934088.0,0.0,24668566.0,0.0,24257184.0,0.0,24310806.0,0.0,24727910.0,0.0,24652686.0,0.0,24128678.0,0.0,24566418.0,0.0,25517378.0,0.0,25529694.0,0.0,25911552.0,0.0,12407702.0,0.0,10514887.0,0.0,10038563.0
1.0,0.015623331069946289,21778712.0,0.015631914138793945,22110272.0,0.0221407413482666,22558138.0,0.015623331069946289,22785622.0,0.015625476837158203,22778292.0,0.01563239097595215,23137228.0,0.015624046325683594,24170040.0,0.015625953674316406,22921268.0,0.015624523162841797,24380324.0,0.015606880187988281,23878252.0,0.015626192092895508,24943732.0,0.01562643051147461,25307886.0,0.03370857238769531,24380324.0,0.015625476837158203,23930238.0,0.015631437301635742,25747068.0,0.0156252384185791,12272482.0,0.015624284744262695,10649615.0,0.015624523162841797,9891165.0
1.0,0.03125143051147461,21085804.0,0.03125786781311035,22655166.0,0.03776669502258301,22705786.0,0.03124833106994629,22345726.0,0.03125166893005371,22515334.0,0.031255245208740234,23189876.0,0.031248807907104492,23683796.0,0.0312504768371582,23411042.0,0.03776836395263672,23453538.0,0.03123164176940918,25432622.0,0.03125166893005371,24075860.0,0.031252145767211914,25529696.0,0.04933500289916992,23499980.0,0.031249284744262695,24038718.0,0.03125810623168945,25311960.0,0.037767887115478516,12017996.0,0.037766456604003906,10841376.0,0.0312504768371582,9930954.0
1.0,0.0468747615814209,20525386.0,0.04688239097595215,21869478.0,0.053389549255371094,21548488.0,0.04687666893005371,22662454.0,0.046875715255737305,22785618.0,0.04687929153442383,22106718.0,0.05338883399963379,22999012.0,0.053392648696899414,23047374.0,0.05339479446411133,23464856.0,0.0468745231628418,23699036.0,0.046877384185791016,24731890.0,0.04688096046447754,23738796.0,0.06897187232971191,24582230.0,0.0468745231628418,24318628.0,0.04688739776611328,25184208.0,0.05338907241821289,12293962.0,0.053391456604003906,10978251.0,0.0468754768371582,9899415.0
1.0,0.06901192665100098,20744024.0,0.06250762939453125,21267902.0,0.06901431083679199,21541558.0,0.0624995231628418,22307312.0,0.06900477409362793,22987912.0,0.06250429153442383,22223764.0,0.06901240348815918,21815238.0,0.06901955604553223,21492160.0,0.06901812553405762,23189876.0,0.06248211860656738,23778720.0,0.06250119209289551,22958216.0,0.06250143051147461,24676504.0,0.08459591865539551,24570374.0,0.062499284744262695,23930238.0,0.06250572204589844,23539034.0,0.0690162181854248,12238461.0,0.06901383399963379,10786891.0,0.0624995231628418,9947602.0
1.0,0.08463788032531738,20400716.0,0.07813262939453125,21123322.0,0.08463931083679199,21936210.0,0.08463549613952637,21274744.0,0.08463668823242188,21855414.0,0.07813024520874023,22687534.0,0.0846397876739502,22543620.0,0.08464336395263672,22869744.0,0.0846412181854248,23088502.0,0.08461833000183105,23081074.0,0.08163928985595703,23174962.0,0.08463168144226074,22561768.0,0.10022115707397461,23706660.0,0.0810861587524414,23499980.0,0.07813000679016113,24372480.0,0.0846407413482666,12107734.0,0.0846400260925293,10884102.0,0.08463072776794434,10110222.0
1.0,0.10026311874389648,19265406.0,0.09375905990600586,21382864.0,0.10026383399963379,21382864.0,0.10027837753295898,21229856.0,0.10026073455810547,23047374.0,0.09375333786010742,22021146.0,0.10026693344116211,22829436.0,0.10026836395263672,22433818.0,0.1002655029296875,22192928.0,0.10024309158325195,22597470.0,0.09726357460021973,23311554.0,0.10026693344116211,23790196.0,0.1158456802368164,23092214.0,0.10111474990844727,23834134.0,0.09375452995300293,24887438.0,0.1002650260925293,12198765.0,0.1002645492553711,10990183.0,0.10026359558105469,10188324.0
1.0,0.11588525772094727,19884938.0,0.11591482162475586,20425972.0,0.12240195274353027,19978940.0,0.11588716506958008,21205582.0,0.11588287353515625,21424906.0,0.11588859558105469,22265460.0,0.11588788032531738,22314488.0,0.11589360237121582,21980366.0,0.12239646911621094,22402294.0,0.11587262153625488,23095930.0,0.11288762092590332,23422340.0,0.11588835716247559,23002710.0,0.1314713954925537,22300136.0,0.12117767333984375,23691414.0,0.11588931083679199,23137228.0,0.12240052223205566,12357991.0,0.12239360809326172,10859467.0,0.11589646339416504,9952745.0
1.0,0.13151288032531738,19951776.0,0.13152146339416504,20403998.0,0.13802790641784668,21011162.0,0.13151097297668457,22192928.0,0.13151097297668457,22310904.0,0.1315145492553711,22272622.0,0.13801980018615723,21119926.0,0.13802194595336914,21205582.0,0.1380305290222168,22147964.0,0.13149237632751465,22917582.0,0.12851262092590332,22476306.0,0.13151192665100098,22106718.0,0.15360021591186523,22866068.0,0.14139366149902344,22561768.0,0.1315145492553711,24843360.0,0.13803386688232422,12190917.0,0.13802719116210938,10841376.0,0.13151121139526367,9999493.0
1.0,0.14726567268371582,20151778.0,0.14714789390563965,20151778.0,0.15365219116210938,22220188.0,0.14713597297668457,22356514.0,0.14713454246520996,21623512.0,0.14714407920837402,21858926.0,0.15365338325500488,22192928.0,0.1536548137664795,21969764.0,0.15365147590637207,22785618.0,0.14711666107177734,21428352.0,0.14413785934448242,22687532.0,0.1471397876739502,23231522.0,0.16923236846923828,23081072.0,0.1615140438079834,23311554.0,0.1471402645111084,22265460.0,0.15366148948669434,12329405.0,0.15365123748779297,10947869.0,0.14713835716247559,10207487.0
1.0,0.15327000617980957,19082634.0,0.16277217864990234,19547910.0,0.16927504539489746,21587666.0,0.16275906562805176,21089194.0,0.16275906562805176,21616556.0,0.1627650260925293,22461842.0,0.16927456855773926,22185788.0,0.16927814483642578,21745818.0,0.16927671432495117,22261878.0,0.16274428367614746,22405896.0,0.15976166725158691,22829436.0,0.16276240348815918,23047372.0,0.18485689163208008,22356512.0,0.17957830429077148,22880784.0,0.1627640724182129,23364958.0,0.16928648948669434,12404711.0,0.16927671432495117,10927707.0,0.16277647018432617,10143154.0
1.0,0.16890215873718262,19982152.0,0.17839789390563965,20321044.0,0.20052576065063477,19769602.0,0.18494009971618652,20820158.0,0.18489623069763184,21456746.0,0.1783895492553711,21492160.0,0.18490266799926758,21851898.0,0.18490171432495117,22234488.0,0.18490290641784668,22117384.0,0.18488073348999023,21980366.0,0.1819014549255371,21271322.0,0.17838382720947266,22705786.0,0.20048046112060547,24124794.0,0.19521045684814453,21662970.0,0.17669916152954102,23133508.0,0.1849067211151123,12733358.0,0.18489789962768555,11022571.0,0.17851805686950684,10099991.0
1.0,0.18453073501586914,19978940.0,0.2005298137664795,20570880.0,0.22266626358032227,19477442.0,0.20056629180908203,20296096.0,0.20052146911621094,20384316.0,0.20051789283752441,21616556.0,0.20052790641784668,21229856.0,0.20052862167358398,21892212.0,0.20052599906921387,21825768.0,0.20050549507141113,22655168.0,0.1975266933441162,22873424.0,0.20052099227905273,22345726.0,0.21610617637634277,22576286.0,0.21083426475524902,22651522.0,0.19232583045959473,23699036.0,0.20053553581237793,12548953.0,0.20241951942443848,11029266.0,0.1845231056213379,10120466.0
1.0,0.20015168190002441,18783716.0,0.21616148948669434,19942152.0,0.23829102516174316,20531990.0,0.21619129180908203,20321044.0,0.21614480018615723,21292374.0,0.21615052223205566,21538094.0,0.21615147590637207,21531166.0,0.21615195274353027,21456746.0,0.21615004539489746,22441034.0,0.21613121032714844,22487154.0,0.2131519317626953,21609604.0,0.21614813804626465,22479918.0,0.23173046112060547,22021146.0,0.22645902633666992,22741968.0,0.21596288681030273,22691186.0,0.2161562442779541,12478960.0,0.20641636848449707,10909372.0,0.20015430450439453,10132861.0
1.0,0.2157752513885498,18757056.0,0.23178505897521973,19854878.0,0.25391507148742676,20397438.0,0.23181414604187012,21041648.0,0.23176860809326172,20642430.0,0.23177361488342285,21188534.0,0.23177599906921387,22028232.0,0.23179173469543457,21808218.0,0.23828506469726562,20977414.0,0.23175525665283203,21505994.0,0.228776216506958,21932684.0,0.23177003860473633,22833108.0,0.24735665321350098,22644234.0,0.2420823574066162,23002710.0,0.23158645629882812,22767298.0,0.2382960319519043,12674863.0,0.21401071548461914,10977809.0,0.21578001976013184,10321214.0
1.0,0.2313988208770752,19055068.0,0.24741172790527344,20213936.0,0.26954174041748047,20238654.0,0.24743986129760742,20538594.0,0.24739527702331543,20049658.0,0.24739694595336914,20787038.0,0.25391101837158203,21271322.0,0.25392866134643555,21431798.0,0.2539100646972656,21085804.0,0.24737930297851562,21768206.0,0.24440336227416992,21418016.0,0.24739336967468262,21782214.0,0.26949429512023926,22825764.0,0.2577970027923584,22789284.0,0.24721264839172363,23051080.0,0.2539229393005371,12600210.0,0.23814940452575684,11146767.0,0.2314009666442871,10313907.0
1.0,0.24702692031860352,18370728.0,0.26303768157958984,19359690.0,0.2851686477661133,19606218.0,0.26956915855407715,19445512.0,0.263019323348999,20251690.0,0.26302504539489746,21216194.0,0.26953554153442383,21382864.0,0.26955389976501465,20744022.0,0.2695338726043701,21123324.0,0.269512414932251,22144400.0,0.26653385162353516,21662970.0,0.26302075386047363,21848384.0,0.28511929512023926,22151524.0,0.2733345031738281,21929154.0,0.26283764839172363,22356512.0,0.2695488929748535,12544916.0,0.25377988815307617,10909373.0,0.2470262050628662,10235531.0
0.0,0.26917004585266113,19788694.0,0.2786581516265869,21048416.0,0.307295560836792,19845300.0,0.2852046489715576,20777010.0,0.2851583957672119,20251690.0,0.27864789962768555,20596652.0,0.28516125679016113,20790380.0,0.28517770767211914,20783696.0,0.2851593494415283,21045032.0,0.28514552116394043,21505994.0,0.2821662425994873,20639112.0,0.2786433696746826,22140840.0,0.30074310302734375,22307312.0,0.2954733371734619,21851898.0,0.278461217880249,21987438.0,0.2851734161376953,12692503.0,0.2693967819213867,11012345.0,0.262650728225708,10146417.0
,0.2847940921783447,18960700.0,0.2942836284637451,19595920.0,0.32292890548706055,19842108.0,0.3008277416229248,20025508.0,0.3007822036743164,20359174.0,0.29427433013916016,21154172.0,0.30078673362731934,21075632.0,0.30080103874206543,19818542.0,0.30078840255737305,21271322.0,0.300769567489624,21551956.0,0.29779052734375,21463648.0,0.3007826805114746,21580722.0,0.31636643409729004,22220188.0,0.3110980987548828,22899154.0,0.2940852642059326,22151526.0,0.3007972240447998,12494103.0,0.2850222587585449,10921166.0,0.2782750129699707,10251560.0
,0.30041933059692383,18972900.0,0.3164196014404297,18771634.0,0.33855247497558594,19805794.0,0.3164527416229248,20117624.0,0.316408634185791,19975724.0,0.3164088726043701,20926952.0,0.31641149520874023,20678394.0,0.31643056869506836,20750696.0,0.3164098262786865,21428352.0,0.3163938522338867,21347838.0,0.3134150505065918,21662972.0,0.3164069652557373,22230912.0,0.3319973945617676,22189358.0,0.3267226219177246,22133718.0,0.3162214756011963,21932682.0,0.3164215087890625,12480966.0,0.3006470203399658,11101487.0,0.30040884017944336,10225657.0
,0.3160433769226074,19628306.0,0.3320443630218506,19178202.0,0.35417652130126953,19391324.0,0.3320775032043457,20158262.0,0.3320326805114746,20429254.0,0.33203768730163574,20355900.0,0.3320353031158447,21344406.0,0.3320486545562744,20528686.0,0.3385500907897949,21240100.0,0.332019567489624,20286308.0,0.3290410041809082,21274744.0,0.3320310115814209,21573784.0,0.34761738777160645,21699082.0,0.3423469066619873,22092498.0,0.33184814453125,22778292.0,0.33860254287719727,12450766.0,0.3162710666656494,11084322.0,0.31603431701660156,10233885.0
,0.331667423248291,18074772.0,0.3476688861846924,19448644.0,0.36980128288269043,19671248.0,0.3477015495300293,19888138.0,0.3476569652557373,20711152.0,0.3477039337158203,20467770.0,0.3541743755340576,21555418.0,0.3541867733001709,20362448.0,0.3541727066040039,20926950.0,0.3476443290710449,21226440.0,0.344667911529541,21130118.0,0.3476541042327881,21855414.0,0.36975860595703125,22192928.0,0.3579714298248291,22051434.0,0.3474709987640381,22307312.0,0.354184627532959,12683023.0,0.3384089469909668,11061880.0,0.33165907859802246,10122094.0
