Amplitude (V),alpha,tau,beta,gamma,r2_score
-7,11142308.678845415,1.8773765831158902,0.3165861462320207,12256494.46827867,0.9685536629832533
-7,11078460.25305822,2.6968574593770405,0.3251062274548826,12578824.598067388,0.9642554855294521
-7,11315471.080958493,3.293139680063204,0.318089038758984,12631293.56542081,0.9619832997041828
-7,11585040.602570185,3.512880360739091,0.3146721161359489,12733891.399180163,0.960037308821692
-7,12019261.005635066,2.6653108921326636,0.309006025786467,13121407.02354831,0.9590744519862316
-7,12557309.351234423,2.731337033049655,0.2962158960445311,13087622.384765213,0.9609892687048256
-7,12430850.86588187,2.8906492439095306,0.3062862871042347,13260990.705660172,0.9605355891200387
-7,11997701.526613206,3.7900039815619357,0.3097016227637608,13179934.349002639,0.9590960230137197
-7,12620007.018893342,3.281190479231639,0.30403612726416945,13260378.393615955,0.9520963227644271
-7,12251595.158131966,2.962976938351385,0.32547059799756417,13778369.883084623,0.9593772450555752
-7,12055778.350664597,3.1790022992220526,0.32229270170547286,13817858.760878831,0.9565333240250126
-7,12552754.691813372,2.7340870239655635,0.3183758721985438,13981792.121246241,0.9543652656302912
-7,13407332.99067394,3.2270992915585643,0.29817168339861577,13550476.139590528,0.9508414836866921
-7,12701807.699511165,3.4187857407111975,0.3139582505033026,13874634.158808421,0.956515949416133
-7,13363475.780984983,2.5819808859121682,0.30896901386326947,14163790.201051984,0.9555711312745201
7,-873627.4661712295,0.5432998314593401,0.9999999999999636,13043997.988134732,0.16348816176710446
7,-896545.8804116247,0.9878531329342995,0.9999999999990041,11680585.056986421,0.49437834995442753
7,-884970.7809253024,0.7375412141209187,0.6431512196199377,10745278.555954121,0.39924839895924813
