,time0,res0,time1,res1,time2,res2,time3,res3,time4,res4,time5,res5,time6,res6,time7,res7,time8,res8,time9,res9,time10,res10,time11,res11,time12,res12,time13,res13,time14,res14,time15,res15,time16,res16,time17,res17
0,0.0,9626363.722650059,0.0,8871985.695375238,0.0,8834356.82409484,0.0,8439033.198401887,0.0,8220002.065394788,0.0,8016342.572926724,0.0,8117172.231696946,0.0,7991606.513182284,0.0,7654207.985719977,0.0,7647049.545785294,0.0,7420975.08005505,0.0,7607096.3216619985,0.0,7309769.124398912,0.0,7378780.8013464175,0.0,7706145.909316372,0.0,17192024.471078828,0.0,16912746.072160907,0.0,18467722.3172792
1,0.010004758834838869,9583131.68195414,0.02213764190673828,8884330.61600917,0.015622377395629885,8872021.236921703,0.031248092651367188,8555280.15200237,0.015631437301635742,8399560.992292231,0.02213764190673828,8307012.212872398,0.015625715255737305,8206607.733497475,0.015624284744262697,8032746.487680506,0.015633106231689453,8045376.292567425,0.015624284744262697,7893227.8002052605,0.022129535675048828,7708717.992568836,0.015622854232788088,7613125.422457311,0.015623092651367188,7524022.810831694,0.01000356674194336,7562345.630707744,0.01000523567199707,7547334.59723466,0.020133018493652344,15001456.981496226,0.03125262260437012,15607228.83339183,0.015626192092895508,16802178.924003445
2,0.025635957717895508,9982102.21419683,0.03776454925537109,9248216.237959808,0.031246185302734375,8771106.562045002,0.046872854232788086,8514564.688728193,0.03125596046447754,8627182.494588282,0.03776383399963379,8437181.538949758,0.03776383399963379,8374420.415602078,0.037769079208374016,8291705.452189643,0.031260013580322266,8076264.6948787095,0.031251192092895515,7809255.472590478,0.0377659797668457,7688116.712128772,0.031247377395629883,7609598.6562634455,0.03775596618652344,7609422.737205728,0.025635480880737305,7754408.538136854,0.02563762664794922,7574548.942864668,0.035765886306762695,14828309.617533734,0.04687643051147461,14926081.48072828,0.03776717185974121,16131055.625022767
3,0.04126644134521485,9790942.815148469,0.05338740348815918,9228214.23089975,0.0468745231628418,8728281.979500288,0.062497138977050774,8612563.072457483,0.04688310623168945,8811004.450079862,0.05338573455810547,8511528.502961686,0.053386449813842766,8279308.610520408,0.05339503288269043,8076720.627524883,0.04688286781311035,7945638.911948171,0.0468752384185791,7972443.741536889,0.05338549613952637,7897203.348961524,0.0468754768371582,7734589.41709074,0.0533902645111084,7607206.966366656,0.041260957717895515,7576272.550522097,0.04126262664794922,7579065.762843155,0.0513911247253418,14341478.14649953,0.06116318702697754,14843979.901939645,0.05339241027832031,15986505.342113154
4,0.0568845272064209,9946343.979905302,0.06901144981384277,9011574.511087151,0.06901192665100098,8942291.971002817,0.08462905883789062,8935132.49767219,0.06250548362731934,8682445.99767406,0.06901144981384277,8509564.988264872,0.06901097297668457,8262417.183395255,0.06902074813842772,8084553.308439636,0.06250739097595215,8002747.220034134,0.06900811195373535,7774178.963035207,0.06900811195373535,7978382.907587127,0.0690147876739502,7717143.014284782,0.06901288032531737,7783351.308874665,0.0725088119506836,7830180.925985529,0.05688786506652833,7560287.146088754,0.08264017105102539,14048169.943115955,0.07678866386413574,14872635.748662652,0.0690162181854248,15269093.226637648
5,0.0725100040435791,9951554.048998252,0.08463931083679199,9155288.602777116,0.08463716506958008,9005579.312829409,0.10026311874389647,8870991.702920087,0.07813048362731934,8513222.535825374,0.08463740348815918,8443996.577661945,0.08463788032531737,8329387.385362397,0.08464598655700684,8136773.154998285,0.07813334465026855,8203774.66425865,0.08464717864990234,7860745.504768744,0.08463311195373535,7722008.531576704,0.08463883399963379,7650768.439011775,0.08463764190673828,7974808.305652272,0.0881345272064209,7635280.400710961,0.07251095771789551,7688621.299725634,0.09826421737670897,14028393.073699927,0.09241366386413574,14698786.764361443,0.09315919876098633,15388713.504436815
6,0.088134765625,10242657.96122679,0.1002645492553711,9337291.575350096,0.10026168823242188,9004824.621490369,0.11588668823242188,8742721.456548933,0.09375667572021484,8684084.550246626,0.10026168823242188,8473700.659554468,0.10026264190673828,8638513.928782146,0.10027027130126953,8279388.80051655,0.09375572204589844,7985497.441151503,0.10026860237121582,8162356.7282098755,0.10025930404663086,7801454.206507332,0.10026311874389647,7845985.882708407,0.100264310836792,7904874.824894735,0.1037592887878418,7818186.075987232,0.08813619613647461,7518786.412858617,0.11388993263244628,14109824.135766076,0.10803890228271484,14591931.010420488,0.10878419876098633,15640228.705186559
7,0.1037595272064209,9934931.04775081,0.12240338325500487,9447249.425799677,0.11588692665100098,9139269.53867961,0.13150954246520996,8952420.08658865,0.11589741706848145,8691052.274904696,0.12239956855773924,8538793.238247095,0.1223914623260498,8267491.528931192,0.1224040985107422,8219521.429705731,0.11589527130126953,8135532.812665969,0.11589455604553225,7980851.93031652,0.11588668823242188,7882059.723934448,0.1158902645111084,7966684.082506188,0.11588907241821288,7828680.08578786,0.12590956687927246,7790734.20659222,0.1037607192993164,7732464.456331194,0.13602781295776367,13744277.329601785,0.12366509437561035,14610328.115832211,0.137923002243042,15298448.237772875
8,0.12589573860168454,10077383.507642461,0.13802862167358398,9395214.024571016,0.13151192665100098,9003910.970720025,0.14713358879089355,8917230.373904552,0.13152122497558594,8738453.71865729,0.13802623748779294,8644737.72932961,0.13802361488342285,8005539.588054506,0.13804030418395996,8126191.863933623,0.13152194023132324,8107362.793307493,0.13152050971984866,7908672.277778254,0.13802313804626465,8022281.451147513,0.1315150260925293,7802762.814338153,0.1380178928375244,7962037.455226094,0.14152979850769046,7974648.200224008,0.1259009838104248,7826182.451397472,0.15165185928344727,13839410.74374938,0.13928794860839844,14377326.13687432,0.1535472869873047,15178631.70920786
9,0.14152193069458008,10039543.187730847,0.15365362167358398,9449350.355006628,0.1536412239074707,8938527.197365997,0.16276049613952634,8966731.887446648,0.14714527130126953,8657605.98276929,0.15365242958068848,8502471.114090007,0.15364861488342285,8247491.5549115185,0.15366458892822266,8452573.766056083,0.14714646339416504,8339526.199482215,0.14714646339416504,8097963.293666561,0.15365123748779294,7795101.451732522,0.1536424160003662,7754291.13934144,0.15365076065063474,7944857.718902877,0.15715408325195312,7705528.445120122,0.1415247917175293,7829687.549916438,0.16727614402770996,13802216.925513733,0.16892695426940918,14499619.537607724,0.1691720485687256,15080770.05657477
10,0.15714526176452634,9997651.658602348,0.16927623748779294,9401023.862061612,0.16927242279052734,9148421.97187293,0.17838501930236814,8928511.163804196,0.16277194023132324,8748664.387326984,0.16927289962768555,8459404.00045152,0.16927146911621094,8392308.87541848,0.16928911209106445,8038635.762608756,0.16276979446411133,8239742.974616658,0.16276812553405762,8172765.592318383,0.16927456855773926,7939625.729081325,0.16933608055114746,7840399.465807247,0.16927552223205564,7877973.489376913,0.18840408325195312,7890369.136907071,0.1571495532989502,7829913.33091513,0.18290114402771,13758729.500426827,0.18455147743225095,14378726.170663765,0.1847970485687256,15100017.298319064
